Marque,MODEL,Type de Carburant,Transmission,Consommation Urbaine (L/100 km),Consommation Autoroute (L/100 km),Consommation Mixte (L/100 km),Emissions CO2 (g/km),Puissance Fiscale (CV),Puissance Moteur,Catégorie de Véhicule,Cylindrée (L),Cylindres,masse orde marche min,masse orde marche max
MAZDA,626BREAK 2.0DiTD,GO,M 5,7.8,5.5,6.3,176,7,81.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (100ch) TIPTRONIC,GO,A 5,8.7,5.2,6.5,176,7,74.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (100ch) TIPTRONIC,GO,A 5,8.7,5.2,6.5,176,7,74.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (130ch) TIPTRONIC,GO,A 5,9.0,5.1,6.5,176,8,96.0,,,,,
VOLKSWAGEN,BORA TDI (100ch) TIPTRONIC,GO,A 5,8.7,5.2,6.5,176,7,74.0,,,,,
VOLKSWAGEN,BORA TDI (100ch) TIPTRONIC,GO,A 5,8.7,5.2,6.5,176,7,74.0,,,,,
VOLKSWAGEN,BORA TDI (130ch) TIPTRONIC,GO,A 5,9.0,5.1,6.5,176,8,96.0,,,,,
VOLKSWAGEN,GOLF TDI (100ch) TIPTRONIC,GO,A 5,8.7,5.2,6.5,176,7,74.0,,,,,
VOLKSWAGEN,GOLF TDI (100ch) TIPTRONIC,GO,A 5,8.7,5.2,6.5,176,7,74.0,,,,,
VOLKSWAGEN,GOLF TDI (100ch) TIPTRONIC,GO,A 5,8.7,5.2,6.5,176,7,74.0,,,,,
VOLKSWAGEN,GOLF TDI (130ch) TIPTRONIC,GO,A 5,9.0,5.0,6.5,176,8,96.0,,,,,
VOLKSWAGEN,GOLF TDI (130ch) TIPTRONIC,GO,A 5,9.0,5.0,6.5,176,8,96.0,,,,,
VOLKSWAGEN,GOLF TDI (130ch) TIPTRONIC,GO,A 5,9.0,5.1,6.5,176,8,96.0,,,,,
VOLKSWAGEN,GOLF TDI (130ch) TIPTRONIC,GO,A 5,9.0,5.1,6.5,176,8,96.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (130ch) 4MOTION,GO,M 6,8.5,5.4,6.5,176,8,96.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (130ch) 4MOTION,GO,M 6,8.5,5.4,6.5,176,8,96.0,,,,,
VOLKSWAGEN,PASSAT TDI (130ch) 4MOTION,GO,M 6,8.5,5.3,6.5,176,8,96.0,,,,,
VOLKSWAGEN,PASSAT TDI (130ch) 4MOTION,GO,M 6,8.5,5.3,6.5,176,8,96.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch),GO,M 6,8.5,5.4,6.5,176,7,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (90ch),GO,M 6,8.1,5.6,6.5,176,6,66.0,,,,,
MAZDA,PREMACY 2.0DiTD,GO,M 5,7.8,5.6,6.4,177,7,74.0,,,,,
MERCEDES-BENZ,C 200 CDI BERLINE BVA,GO,A 5,9.4,5.1,6.7,177,7,85.0,,,,,
MERCEDES-BENZ,C 200 CDI BREAK,GO,M 6,8.9,5.4,6.7,177,7,85.0,,,,,
MERCEDES-BENZ,C 220 CDI BERLINE BVA,GO,A 5,9.4,5.1,6.7,177,9,105.0,,,,,
MERCEDES-BENZ,C 220 CDI BREAK,GO,M 6,8.9,5.4,6.7,177,9,105.0,,,,,
MERCEDES-BENZ,C 220 CDI COUPE SPORT BVA,GO,A 5,9.4,5.3,6.7,177,9,105.0,,,,,
MERCEDES-BENZ,E 200 CDI BERLINE BVA,GO,A 5,9.1,5.3,6.7,177,7,85.0,,,,,
MERCEDES-BENZ,E 220 CDI BERLINE BVA,GO,A 5,9.1,5.3,6.7,177,9,105.0,,,,,
VOLVO,V70D5,GO,M 5,9.0,5.4,6.7,177,10,120.0,,,,,
ALFA-ROMEO,1562.4JTD,GO,M 5,8.9,5.4,6.7,178,8,103.0,,,,,
ALFA-ROMEO,1562.4JTD,GO,M 5,8.9,5.4,6.7,178,8,103.0,,,,,
AUDI,A33P 1.9TDI (130ch) TIPTRONIC,GO,A 5,9.1,5.1,6.5,178,8,96.0,,,,,
AUDI,A35P 1.9TDI (130ch) TIPTRONIC,GO,A 5,9.1,5.1,6.5,178,8,96.0,,,,,
BMW,330d BERLINE,GO,M 5,9.2,5.3,6.7,178,11,135.0,,,,,
BMW,330d BERLINE,GO,M 5,9.2,5.3,6.7,178,11,135.0,,,,,
CITROEN,C5BREAK 2.0HDi BVA,GO,A 4,9.3,5.2,6.7,178,7,80.0,,,,,
FORD,GALAXY 1.9TDi,GO,M 6,8.2,5.7,6.6,178,6,66.0,,,,,
FORD,GALAXY 1.9TDi,GO,M 6,8.6,5.5,6.6,178,7,85.0,,,,,
OPEL,ZAFIRA 2.0DTI 16V,GO,M 5,8.4,5.5,6.6,178,7,74.0,,,,,
OPEL,ZAFIRA 2.0DTI 16V CLIM,GO,M 5,8.4,5.5,6.6,178,7,74.0,,,,,
PEUGEOT,406BREAK 2.0HDi (110ch) BVA,GO,A 4,9.3,5.2,6.7,178,7,80.0,,,,,
PEUGEOT,406FAMILIALE 2.0HDi (110ch) BVA,GO,A 4,9.3,5.2,6.7,178,7,80.0,,,,,
PEUGEOT,6072.2HDi FAP,GO,M 5,8.9,5.5,6.7,178,8,98.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (100ch) TIPTRONIC,GO,A 5,8.8,5.3,6.6,178,7,74.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (130ch) TIPTRONIC,GO,A 5,9.1,5.2,6.6,178,8,96.0,,,,,
VOLKSWAGEN,BORA TDI (100ch) TIPTRONIC,GO,A 5,8.8,5.3,6.6,178,7,74.0,,,,,
VOLKSWAGEN,BORA TDI (130ch) TIPTRONIC,GO,A 5,9.1,5.2,6.6,178,8,96.0,,,,,
VOLKSWAGEN,GOLF TDI (100ch) TIPTRONIC,GO,A 5,8.8,5.3,6.6,178,7,74.0,,,,,
VOLKSWAGEN,GOLF TDI (130ch) TIPTRONIC,GO,A 5,9.1,5.2,6.6,178,8,96.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (130ch) 4MOTION,GO,M 6,8.6,5.5,6.6,178,8,96.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (130ch) 4MOTION,GO,M 6,8.6,5.5,6.6,178,8,96.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch),GO,M 6,8.6,5.5,6.6,178,7,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (90ch),GO,M 6,8.2,5.7,6.6,178,6,66.0,,,,,
BMW,525d BERLINE,GO,M 5,9.2,5.3,6.7,179,10,120.0,,,,,
LANCIA,LYBRA 2.4JTD,GO,M 5,9.0,5.4,6.7,179,9,103.0,,,,,
NISSAN,PRIMERA 4P 2.0TD,GO,M 5,8.8,5.6,6.8,179,6,66.0,,,,,
NISSAN,PRIMERA 5P 2.0TD,GO,M 5,8.8,5.6,6.8,179,6,66.0,,,,,
ALFA-ROMEO,156SW 2.4JTD,GO,M 5,9.0,5.6,6.8,180,9,103.0,,,,,
MERCEDES-BENZ,E 220 CDI BREAK,GO,M 6,9.1,5.5,6.8,180,9,105.0,,,,,
SUZUKI,SAMURAI BACHE,GO,M 5,8.3,5.9,6.8,180,5,47.0,,,,,
SUZUKI,SAMURAI HARD-TOP,GO,M 5,8.3,5.9,6.8,180,5,47.0,,,,,
SUZUKI,SAMURAI LONG HARD-TOP,GO,M 5,8.3,5.9,6.8,180,5,47.0,,,,,
SUZUKI,SAMURAI LONG PICK-UP,GO,M 5,8.3,5.9,6.8,180,5,47.0,,,,,
SUZUKI,SAMURAI TOLE,GO,M 5,8.3,5.9,6.8,180,5,47.0,,,,,
TOYOTA,COROLLA 5P 1.9D,GO,M 5,8.6,5.4,6.6,180,5,51.0,,,,,
CITROEN,BERLINGO 1.9D,GO,M 5,8.7,5.8,6.9,181,5,51.0,,,,,
CITROEN,BERLINGO 1.9D,GO,M 5,8.7,5.8,6.9,181,5,51.0,,,,,
CITROEN,BERLINGO MODUTOP 1.9D,GO,M 5,8.7,5.8,6.9,181,5,51.0,,,,,
FORD,GALAXY 1.9TDi,GO,M 6,8.3,5.8,6.7,181,6,66.0,,,,,
MERCEDES-BENZ,C 270 CDI BERLINE,GO,M 6,9.7,5.1,6.8,181,10,125.0,,,,,
OPEL,ASTRA 5P 2.0DI 16V BVA CLIM,GO,A 4,8.9,5.4,6.7,181,6,60.0,,,,,
PEUGEOT,PARTNER 1.9D,GO,M 5,8.7,5.8,6.9,181,5,51.0,,,,,
RENAULT,KANGOO 1.9D,GO,M 5,8.3,5.9,6.8,181,5,47.0,,,,,
VOLKSWAGEN,BORA BREAK TDI (130ch) TIPTRONIC,GO,A 5,9.2,5.3,6.7,181,8,96.0,,,,,
VOLKSWAGEN,PASSAT TDI (100ch) BVA,GO,A 4,9.4,5.2,6.7,181,7,74.0,,,,,
VOLKSWAGEN,PASSAT TDI (100ch) BVA,GO,A 4,9.4,5.2,6.7,181,7,74.0,,,,,
VOLKSWAGEN,SHARAN TDI (90ch),GO,M 6,8.3,5.8,6.7,181,6,66.0,,,,,
CITROEN,EVASION 2.0HDi,GO,M 5,8.4,5.6,6.7,182,7,80.0,,,,,
CITROEN,JUMPY 2.0HDi,GO,M 5,8.4,5.8,6.8,182,6,69.0,,,,,
CITROEN,JUMPY 2.0HDi,GO,M 5,8.4,5.8,6.8,182,6,69.0,,,,,
LANCIA,LYBRA SW 2.4JTD,GO,M 5,9.2,5.5,6.9,182,9,103.0,,,,,
MERCEDES-BENZ,E 270 CDI BERLINE,GO,M 6,9.4,5.4,6.9,182,10,125.0,,,,,
PEUGEOT,8062.0HDi,GO,M 5,8.4,5.6,6.7,182,7,80.0,,,,,
PEUGEOT,EXPERT 2.0HDi,GO,M 5,8.4,5.8,6.8,182,6,69.0,,,,,
MERCEDES-BENZ,C 270 CDI BREAK BOITE SEQUENTRONIC,GO,M 6,9.3,5.7,6.9,183,10,125.0,,,,,
SUZUKI,BALENO 4P 1.9L TD,GO,M 5,9.1,5.7,7.0,183,6,55.0,,,,,
SUZUKI,BALENO BREAK 1.9L TD,GO,M 5,9.1,5.7,7.0,183,6,55.0,,,,,
AUDI,A42.5TDI (155ch) BV6,GO,M 6,9.7,5.3,6.8,184,9,114.0,,,,,
BMW,320d BERLINE BVA,GO,A 5,9.2,5.6,6.9,184,8,100.0,,,,,
CITROEN,EVASION 2.0HDi 16V,GO,M 5,8.8,5.9,6.9,184,7,80.0,,,,,
FIAT,ULYSSE JTD,GO,M 5,8.8,5.9,6.9,184,7,80.0,,,,,
FIAT,ULYSSE JTD,GO,M 5,8.8,5.9,6.9,184,7,80.0,,,,,
LANCIA,Z 2.0JTD 16V,GO,M 5,8.8,5.9,6.9,184,7,80.0,,,,,
LANCIA,Z 2.0JTD 16V,GO,M 5,8.8,5.9,6.9,184,7,80.0,,,,,
PEUGEOT,8062.0HDi 16V,GO,M 5,8.8,5.9,6.9,184,7,80.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (100ch) BVA,GO,A 4,9.5,5.3,6.8,184,7,74.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (100ch) BVA,GO,A 4,9.5,5.3,6.8,184,7,74.0,,,,,
VOLKSWAGEN,PASSAT TDI (100ch) BVA,GO,A 4,9.5,5.3,6.8,184,7,74.0,,,,,
VOLKSWAGEN,PASSAT TDI (100ch) BVA,GO,A 4,9.5,5.3,6.8,184,7,74.0,,,,,
CITROEN,C52.2HDi BVA,GO,A 4,9.8,5.4,7.0,185,8,98.0,,,,,
AUDI,A62.5L (155ch) MULTITRONIC,GO,V 0,9.2,5.6,6.9,186,9,114.0,,,,,
AUDI,A62.5L (155ch) MULTITRONIC,GO,V 0,9.2,5.6,6.9,186,9,114.0,,,,,
AUDI,A62.5TDI (155ch) BV6,GO,M 6,9.7,5.3,6.9,186,9,114.0,,,,,
AUDI,A62.5TDI (155ch) BV6,GO,M 6,9.7,5.3,6.9,186,9,114.0,,,,,
AUDI,A62.5TDI (155ch) MULTITRONIC,GO,V 0,9.2,5.6,6.9,186,9,114.0,,,,,
AUDI,A6AVANT 2.5L (155ch) BV6,GO,M 6,9.7,5.3,6.9,186,9,114.0,,,,,
AUDI,A6AVANT 2.5L (155ch) BV6,GO,M 6,9.7,5.3,6.9,186,9,114.0,,,,,
AUDI,A6AVANT 2.5L (155ch) MULTITRONIC,GO,V 0,8.2,5.6,6.9,186,9,114.0,,,,,
BMW,330d TOURING,GO,M 5,9.6,5.5,7.0,186,11,135.0,,,,,
BMW,330d TOURING,GO,M 5,9.6,5.5,7.0,186,11,135.0,,,,,
CITROEN,JUMPY 2.0HDi 16V,GO,M 5,8.9,6.0,7.0,186,7,80.0,,,,,
CITROEN,JUMPY 2.0HDi 16V,GO,M 5,8.9,6.0,7.0,186,7,80.0,,,,,
CITROEN,JUMPY 2.0HDi 16V,GO,M 5,8.9,6.0,7.0,186,7,80.0,,,,,
CITROEN,JUMPY 2.0HDi 16V,GO,M 5,8.9,6.0,7.0,186,7,80.0,,,,,
OPEL,ASTRA BREAK 2.0DI 16V BVA CLIM,GO,A 4,9.0,5.6,6.9,186,6,60.0,,,,,
PEUGEOT,EXPERT 2.0HDi 16V,GO,M 5,8.9,6.0,7.0,186,7,80.0,,,,,
PEUGEOT,EXPERT 2.0HDi 16V,GO,M 5,8.9,6.0,7.0,186,7,80.0,,,,,
PEUGEOT,EXPERT 2.0HDi 16V,GO,M 5,8.9,6.0,7.0,186,7,80.0,,,,,
PEUGEOT,EXPERT 2.0HDi 16V,GO,M 5,8.9,6.0,7.0,186,7,80.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (100ch) BVA,GO,A 4,9.6,5.4,6.9,186,7,74.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (100ch) BVA,GO,A 4,9.6,5.4,6.9,186,7,74.0,,,,,
VOLKSWAGEN,PASSAT TDI (100ch) BVA,GO,A 4,9.6,5.4,6.9,186,7,74.0,,,,,
VOLKSWAGEN,PASSAT TDI (100ch) BVA,GO,A 4,9.6,5.4,6.9,186,7,74.0,,,,,
VOLKSWAGEN,PASSAT V6 TDI,GO,M 6,9.9,5.3,6.9,186,9,110.0,,,,,
VOLKSWAGEN,PASSAT V6 TDI,GO,M 6,9.9,5.3,6.9,186,9,110.0,,,,,
BMW,525d TOURING,GO,M 5,9.5,5.6,7.0,187,10,120.0,,,,,
CITROEN,C5BREAK 2.2HDi BVA,GO,A 4,9.9,5.4,7.1,187,8,98.0,,,,,
CITROEN,JUMPY 2.0HDi,GO,M 5,8.7,5.9,7.0,187,7,69.0,,,,,
CITROEN,JUMPY 2.0HDi,GO,M 5,8.7,5.9,7.0,187,7,69.0,,,,,
MERCEDES-BENZ,E 270 CDI BREAK,GO,M 6,9.6,5.6,7.1,187,10,125.0,,,,,
PEUGEOT,EXPERT 2.0HDi,GO,M 5,8.7,5.9,7.0,187,7,69.0,,,,,
MERCEDES-BENZ,E 220 CDI BREAK BVA,GO,A 5,9.4,5.7,7.1,188,9,105.0,,,,,
NISSAN,PRIMERA BREAK 2.0TD,GO,M 5,8.9,6.0,7.1,188,6,66.0,,,,,
AUDI,A42.5TDI (155ch) BV6,GO,M 6,9.8,5.4,7.0,189,10,114.0,,,,,
BMW,530d BERLINE,GO,M 5,9.7,5.6,7.1,189,12,142.0,,,,,
MERCEDES-BENZ,C 200 CDI BREAK BVA,GO,A 5,9.8,5.6,7.1,189,8,85.0,,,,,
MERCEDES-BENZ,C 220 CDI BREAK BVA,GO,A 5,9.8,5.6,7.1,189,9,105.0,,,,,
MERCEDES-BENZ,C 270 CDI BERLINE BVA,GO,A 5,9.8,5.6,7.1,189,10,125.0,,,,,
MERCEDES-BENZ,C 270 CDI BREAK,GO,M 6,9.7,5.6,7.1,189,10,125.0,,,,,
MERCEDES-BENZ,E 270 CDI BERLINE BVA,GO,A 5,9.6,5.7,7.2,189,10,125.0,,,,,
RENAULT,ESPACE 2.2dCi (115ch),GO,M 5,8.8,6.1,7.1,189,7,84.0,,,,,
RENAULT,ESPACE 2.2dCi (130ch),GO,M 5,8.8,6.1,7.1,189,8,95.0,,,,,
RENAULT,GRAND ESPACE 2.2dCi (115ch),GO,M 5,8.8,6.1,7.1,189,7,84.0,,,,,
RENAULT,GRAND ESPACE 2.2dCi (130ch),GO,M 5,8.8,6.1,7.1,189,8,95.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (100ch) BVA,GO,A 4,9.7,5.5,7.0,189,7,74.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (100ch) BVA,GO,A 4,9.7,5.5,7.0,189,7,74.0,,,,,
VOLKSWAGEN,PASSAT BREAK V6 TDI,GO,M 6,10.0,5.3,7.0,189,9,110.0,,,,,
VOLKSWAGEN,PASSAT BREAK V6 TDI,GO,M 6,10.0,5.3,7.0,189,9,110.0,,,,,
VOLKSWAGEN,PASSAT TDI (130ch) TIPTRONIC,GO,A 5,9.9,5.4,7.0,189,8,96.0,,,,,
VOLKSWAGEN,PASSAT TDI (130ch) TIPTRONIC,GO,A 5,9.9,5.4,7.0,189,8,96.0,,,,,
VOLKSWAGEN,PASSAT V6 TDI,GO,M 6,10.0,5.4,7.0,189,9,110.0,,,,,
VOLKSWAGEN,PASSAT V6 TDI,GO,M 6,10.0,5.4,7.0,189,9,110.0,,,,,
BMW,320d TOURING BVA,GO,A 5,9.6,5.7,7.1,190,9,100.0,,,,,
NISSAN,X-TRAIL 2.2VDi,GO,M 6,9.2,6.0,7.2,190,7,84.0,,,,,
ROVER,ROVER 75 DIESEL CD BVA,GO,A 5,10.0,5.2,6.9,190,8,85.0,,,,,
ROVER,ROVER 75 DIESEL CG BVA,GO,A 5,10.0,5.2,6.9,190,8,85.0,,,,,
ROVER,ROVER 75 TOURER DIESEL CD BVA,GO,A 5,10.0,5.2,6.9,190,8,85.0,,,,,
ROVER,ROVER 75 TOURER DIESEL CG BVA,GO,A 5,10.0,5.2,6.9,190,8,85.0,,,,,
SUZUKI,GRAND VITARA 5P 2.0L TD 'COMMON RAIL',GO,M 5,8.0,5.8,6.6,190,7,80.0,,,,,
TOYOTA,RAV4 3P 2.0TD4D,GO,M 5,8.9,6.1,7.1,190,8,85.0,,,,,
TOYOTA,RAV4 5P 2.0TD4D,GO,M 5,8.9,6.1,7.1,190,8,85.0,,,,,
FIAT,DOBLO 1.9D,GO,M 5,9.2,6.0,7.2,191,5,46.0,,,,,
FORD,KOMBI 2.0TD TRACTION (100ch),GO,M 5,8.7,6.4,7.2,191,7,73.6,,,,,
FORD,KOMBI 2.0TD TRACTION (100ch),GO,M 5,8.7,6.4,7.2,191,7,73.6,,,,,
FORD,KOMBI 2.0TD TRACTION (100ch),GO,M 5,8.7,6.4,7.2,191,7,73.6,,,,,
FORD,TOURNEO 2.0TD TRACTION (100ch),GO,M 5,8.7,6.4,7.2,191,7,73.6,,,,,
TOYOTA,PREVIA 2.0TD4D,GO,M 5,9.0,6.1,7.2,191,8,85.0,,,,,
TOYOTA,PREVIA 2.0TD4D 7PL,GO,M 5,9.0,6.1,7.2,191,8,85.0,,,,,
AUDI,A6AVANT 2.5L (155ch) BV6,GO,M 6,9.9,5.5,7.1,192,10,114.0,,,,,
AUDI,A6AVANT 2.5L (155ch) MULTITRONIC,GO,V 0,9.4,5.8,7.1,192,10,114.0,,,,,
AUDI,A6AVANT 2.5L (155ch) MULTITRONIC,GO,V 0,9.4,5.8,7.1,192,10,114.0,,,,,
HYUNDAI,TRAJET 2.0L CRDi GLS Confort,GO,M 5,9.3,6.0,7.2,192,7,82.5,,,,,
OPEL,OMEGA 2.2DTI 16V,GO,M 5,9.6,5.6,7.1,192,7,81.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (130ch) TIPTRONIC,GO,A 5,10.0,5.6,7.1,192,8,96.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (130ch) TIPTRONIC,GO,A 5,10.0,5.6,7.1,192,8,96.0,,,,,
VOLKSWAGEN,PASSAT BREAK V6 TDI,GO,M 6,10.1,5.4,7.1,192,9,110.0,,,,,
VOLKSWAGEN,PASSAT BREAK V6 TDI,GO,M 6,10.1,5.4,7.1,192,9,110.0,,,,,
VOLKSWAGEN,PASSAT TDI (130ch) TIPTRONIC,GO,A 5,10.0,5.5,7.1,192,8,96.0,,,,,
VOLKSWAGEN,PASSAT TDI (130ch) TIPTRONIC,GO,A 5,10.0,5.5,7.1,192,8,96.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) 4MOTION,GO,M 6,9.1,5.9,7.1,192,8,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) 4MOTION,GO,M 6,9.1,5.9,7.1,192,8,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) 4MOTION,GO,M 6,9.1,5.9,7.1,192,8,85.0,,,,,
AUDI,A82.5TDI (180ch) BV6,GO,M 6,10.3,5.4,7.2,193,11,132.0,,,,,
MERCEDES-BENZ,E 270 CDI BREAK BVA,GO,A 5,9.8,5.9,7.3,193,10,125.0,,,,,
PEUGEOT,6072.2HDi FAP BVA,GO,A 4,9.8,5.8,7.2,193,8,98.0,,,,,
BMW,530d TOURING,GO,M 5,9.6,5.9,7.3,194,12,142.0,,,,,
FORD,GALAXY 1.9TDi BVA,GO,A 5,9.3,5.9,7.2,194,8,85.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (130ch) TIPTRONIC,GO,A 5,10.1,5.7,7.2,194,8,96.0,,,,,
VOLKSWAGEN,PASSAT BREAK TDI (130ch) TIPTRONIC,GO,A 5,10.1,5.7,7.2,194,8,96.0,,,,,
VOLKSWAGEN,PASSAT BREAK V6 TDI,GO,M 6,10.2,5.5,7.2,194,9,110.0,,,,,
VOLKSWAGEN,PASSAT BREAK V6 TDI,GO,M 6,10.2,5.5,7.2,194,9,110.0,,,,,
VOLKSWAGEN,PASSAT TDI (130ch) TIPTRONIC,GO,A 5,10.1,5.6,7.2,194,8,96.0,,,,,
VOLKSWAGEN,PASSAT TDI (130ch) TIPTRONIC,GO,A 5,10.1,5.6,7.2,194,8,96.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) TIPTRONIC,GO,A 5,9.3,5.9,7.2,194,8,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) TIPTRONIC,GO,A 5,9.3,5.9,7.2,194,8,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) TIPTRONIC,GO,A 5,9.3,5.9,7.2,194,8,85.0,,,,,
AUDI,A82.5TDI (180ch) BV6,GO,M 6,10.4,5.5,7.3,196,11,132.0,,,,,
RENAULT,KANGOO 4X4 1.9dCi,GO,M 5,9.3,6.3,7.4,196,6,59.0,,,,,
SUZUKI,BALENO 4P 1.9L TD,GO,M 5,9.1,6.2,7.3,196,6,55.0,,,,,
SUZUKI,BALENO BREAK 1.9L TD,GO,M 5,9.1,6.2,7.3,196,6,55.0,,,,,
OPEL,OMEGA BREAK 2.2DTI 16V,GO,M 5,9.8,5.8,7.3,197,7,81.0,,,,,
RENAULT,SCENIC RX4 1.9dCi,GO,M 5,8.9,6.6,7.4,197,7,75.0,,,,,
SAAB,37385BERLINE 3.0V6 TiD (176ch),GO,M 5,10.1,5.9,7.4,197,11,130.0,,,,,
SEAT,ALHAMBRA TDI (115ch) 4,GO,M 6,9.3,6.1,7.3,197,8,85.0,,,,,
VOLKSWAGEN,CARAVELLE COURTE TDI (150ch),GO,M 5,9.4,6.1,7.3,197,9,111.0,,,,,
VOLKSWAGEN,CARAVELLE COURTE TDI (150ch),GO,M 5,9.4,6.1,7.3,197,9,111.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) 4MOTION,GO,M 6,9.3,6.1,7.3,197,8,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) 4MOTION,GO,M 6,9.3,6.1,7.3,197,8,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) 4MOTION,GO,M 6,9.3,6.1,7.3,197,8,85.0,,,,,
MERCEDES-BENZ,C 270 CDI BREAK BVA,GO,A 5,9.9,6.0,7.4,198,11,125.0,,,,,
FORD,GALAXY 1.9TDi BVA,GO,A 5,9.5,6.1,7.4,200,8,85.0,,,,,
SEAT,ALHAMBRA 1.9TDI (115ch) TIPTRONIC,GO,A 5,9.5,6.1,7.4,200,8,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) TIPTRONIC,GO,A 5,9.5,6.1,7.4,200,8,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) TIPTRONIC,GO,A 5,9.5,6.1,7.4,200,8,85.0,,,,,
VOLKSWAGEN,SHARAN TDI (115ch) TIPTRONIC,GO,A 5,9.5,6.1,7.4,200,8,85.0,,,,,
ALFA-ROMEO,1662.4JTD,GO,M 6,10.4,6.0,7.6,201,9,103.0,,,,,
BMW,330d BERLINE,GO,M 5,10.1,6.2,7.6,202,11,135.0,,,,,
BMW,330xd BERLINE,GO,M 5,10.1,6.2,7.6,202,11,135.0,,,,,
FORD,KOMBI 2.0TD TRACTION (85ch),GO,M 5,9.4,6.7,7.7,202,7,62.5,,,,,
FORD,KOMBI 2.0TD TRACTION (85ch),GO,M 5,9.4,6.7,7.7,202,7,62.5,,,,,
FORD,KOMBI 2.0TD TRACTION (85ch),GO,M 5,9.4,6.7,7.7,202,7,62.5,,,,,
FORD,TOURNEO 2.0TD TRACTION (85ch),GO,M 5,9.4,6.7,7.7,202,7,62.5,,,,,
HYUNDAI,SANTA FE 2.0L CRDi 4WD GLS Confort,GO,M 5,9.5,6.5,7.6,202,8,82.5,,,,,
SAAB,37385ESTATE 3.0V6 TiD (176ch),GO,M 5,10.3,6.0,7.6,202,11,130.0,,,,,
HYUNDAI,SANTA FE 2.0L CRDi 2WD GLS Confort,GO,M 5,10.0,6.3,7.6,203,8,82.5,,,,,
VOLKSWAGEN,CARAVELLE COURTE TDI (150ch),GO,M 5,9.6,6.3,7.5,203,10,111.0,,,,,
VOLKSWAGEN,CARAVELLE COURTE TDI (150ch),GO,M 5,9.6,6.3,7.5,203,10,111.0,,,,,
VOLKSWAGEN,CARAVELLE COURTE TDI (150ch),GO,M 5,9.6,6.3,7.5,203,10,111.0,,,,,
VOLKSWAGEN,CARAVELLE COURTE TDI (150ch),GO,M 5,9.6,6.3,7.5,203,10,111.0,,,,,
VOLKSWAGEN,CARAVELLE LONGUE TDI (150ch),GO,M 5,9.6,6.3,7.5,203,10,111.0,,,,,
